name,longitude,latitude,East Asia & Pacific,Europe & Central Asia,Latin America & Caribbean ,Middle East & North Africa,North America,South Asia,Sub-Saharan Africa ,income_level
Panama,-79.5188,8.99427,0,0,1,0,0,0,0,4
Peru,-77.0465,-12.0931,0,0,1,0,0,0,0,3
French Polynesia,-149.57,-17.535,1,0,0,0,0,0,0,4
Papua New Guinea,147.194,-9.47357,1,0,0,0,0,0,0,2
Philippines,121.035,14.5515,1,0,0,0,0,0,0,2
Pakistan,72.8,30.5167,0,0,0,0,0,1,0,2
Poland,21.02,52.26,0,1,0,0,0,0,0,4
Puerto Rico,-66.0,18.23,0,0,1,0,0,0,0,4
Portugal,-9.13552,38.7072,0,1,0,0,0,0,0,4
Palau,134.47899999999998,7.341939999999999,1,0,0,0,0,0,0,4
Paraguay,-57.6362,-25.3005,0,0,1,0,0,0,0,3
Qatar,51.5082,25.2948,0,0,0,1,0,0,0,4
Romania,26.0979,44.4479,0,1,0,0,0,0,0,3
Serbia,20.4656,44.8024,0,1,0,0,0,0,0,3
Russian Federation,37.6176,55.7558,0,1,0,0,0,0,0,3
Rwanda,30.0587,-1.95325,0,0,0,0,0,0,1,1
"Yemen, Rep.",44.2075,15.352,0,0,0,1,0,0,0,1
Saudi Arabia,46.6977,24.6748,0,0,0,1,0,0,0,4
Solomon Islands,159.94899999999998,-9.42676,1,0,0,0,0,0,0,2
Seychelles,55.4466,-4.6309,0,0,0,0,0,0,1,4
Sudan,32.5363,15.5932,0,0,0,0,0,0,1,2
Sweden,18.0645,59.3327,0,1,0,0,0,0,0,4
Singapore,103.85,1.28941,1,0,0,0,0,0,0,4
Slovenia,14.5044,46.0546,0,1,0,0,0,0,0,4
Slovak Republic,17.1073,48.1484,0,1,0,0,0,0,0,4
Sierra Leone,-13.2134,8.4821,0,0,0,0,0,0,1,1
San Marino,12.4486,43.9322,0,1,0,0,0,0,0,4
Senegal,-17.4734,14.7247,0,0,0,0,0,0,1,2
Somalia,45.3254,2.07515,0,0,0,0,0,0,1,1
Suriname,-55.1679,5.8232,0,0,1,0,0,0,0,3
South Sudan,31.6,4.85,0,0,0,0,0,0,1,1
Sao Tome and Principe,6.6071,0.20618000000000003,0,0,0,0,0,0,1,2
El Salvador,-89.2073,13.7034,0,0,1,0,0,0,0,2
Syrian Arab Republic,36.3119,33.5146,0,0,0,1,0,0,0,1
Eswatini,31.4659,-26.5225,0,0,0,0,0,0,1,2
Turks and Caicos Islands,-71.141389,21.460277800000004,0,0,1,0,0,0,0,4
Chad,15.0445,12.1048,0,0,0,0,0,0,1,1
Togo,1.2255,6.1228,0,0,0,0,0,0,1,1
Thailand,100.521,13.7308,1,0,0,0,0,0,0,3
Tajikistan,68.7864,38.5878,0,1,0,0,0,0,0,1
Timor-Leste,125.56700000000001,-8.56667,1,0,0,0,0,0,0,2
Turkmenistan,58.3794,37.9509,0,1,0,0,0,0,0,3
Tunisia,10.21,36.7899,0,0,0,1,0,0,0,2
Tonga,-175.21599999999998,-21.136,1,0,0,0,0,0,0,3
Timor-Leste,125.56700000000001,-8.56667,1,0,0,0,0,0,0,2
Turkey,32.3606,39.7153,0,1,0,0,0,0,0,3
Trinidad and Tobago,-61.4789,10.6596,0,0,1,0,0,0,0,4
Tuvalu,179.089567,-8.6314877,1,0,0,0,0,0,0,3
Tanzania,35.7382,-6.17486,0,0,0,0,0,0,1,1
Ukraine,30.5038,50.4536,0,1,0,0,0,0,0,2
Uganda,32.5729,0.314269,0,0,0,0,0,0,1,1
United States,-77.032,38.8895,0,0,0,0,1,0,0,4
Uruguay,-56.0675,-34.8941,0,0,1,0,0,0,0,4
Uzbekistan,69.26899999999999,41.3052,0,1,0,0,0,0,0,2
St. Vincent and the Grenadines,-61.2653,13.2035,0,0,1,0,0,0,0,3
"Venezuela, RB",-69.8371,9.08165,0,0,1,0,0,0,0,3
British Virgin Islands,-64.623056,18.431389000000003,0,0,1,0,0,0,0,4
Virgin Islands (U.S.),-64.8963,18.3358,0,0,1,0,0,0,0,4
Vietnam,105.825,21.0069,1,0,0,0,0,0,0,2
Vanuatu,168.321,-17.7404,1,0,0,0,0,0,0,2
Samoa,-171.752,-13.8314,1,0,0,0,0,0,0,3
Kosovo,20.926,42.565,0,1,0,0,0,0,0,3
"Yemen, Rep.",44.2075,15.352,0,0,0,1,0,0,0,1
Serbia,20.4656,44.8024,0,1,0,0,0,0,0,3
South Africa,28.1871,-25.746,0,0,0,0,0,0,1,3
Zambia,28.2937,-15.3982,0,0,0,0,0,0,1,2
"Congo, Dem. Rep.",15.3222,-4.325,0,0,0,0,0,0,1,1
Zimbabwe,31.0672,-17.8312,0,0,0,0,0,0,1,2
